Type,Head_Size,Teeth_Size,Dinosaur_Length,Weight,Gender,Class
Spinosaurus,1.36,13.19,13.25,9973.34,Female,2
Spinosaurus,1.47,12.66,12.33,9379.12,Male,2
TREX,1.55,23.94,9.49,6887.95,Male,1
TREX,1.46,17.79,11.56,6445.49,Female,1
Triceratops,1.99,17.45,9.67,7000.51,Female,3
Triceratops,2.09,20.55,9.29,8006.17,Female,3
TREX,1.45,21.78,10.74,5791.0,Male,1
Spinosaurus,1.58,13.05,13.1,9274.51,Female,2
TREX,1.62,17.16,13.5,6219.61,Female,1
Spinosaurus,1.49,15.77,12.18,9301.93,Female,2
Spinosaurus,1.45,16.45,11.38,8591.1,Male,2
TREX,1.45,19.07,10.57,6884.79,Female,1
Triceratops,2.22,15.39,8.81,7661.72,Female,3
Spinosaurus,1.48,15.2,14.1,7399.81,Male,2
TREX,1.51,24.47,12.08,6718.06,Female,1
TREX,1.43,20.83,10.0,6714.33,Male,1
Triceratops,1.97,23.32,6.74,8173.18,Female,3
TREX,1.35,13.26,10.65,6137.42,Male,1
Spinosaurus,1.38,16.71,12.95,7510.2,Female,2
Spinosaurus,1.61,12.67,13.57,10032.54,Male,2
Spinosaurus,1.55,17.78,12.92,9264.82,Male,2
TREX,1.39,16.92,9.51,8408.5,Male,1
TREX,1.49,20.47,9.28,6283.99,Female,1
Triceratops,1.92,16.34,9.04,7947.21,Female,3
Spinosaurus,1.43,14.55,12.32,10281.27,Male,2
Triceratops,1.99,18.48,9.01,7105.29,Male,3
Spinosaurus,1.31,13.07,14.45,10190.36,Male,2
Triceratops,2.05,25.54,7.61,7910.19,Female,3
Spinosaurus,1.49,13.97,13.24,9303.15,Male,2
Triceratops,2.04,18.44,7.5,7035.38,Male,3
TREX,1.42,19.85,12.08,6254.07,Male,1
Triceratops,2.02,14.8,6.23,6746.09,Male,3
Spinosaurus,1.46,15.18,13.36,9079.69,Male,2
Spinosaurus,1.59,15.26,12.96,7802.83,Male,2
TREX,1.6,19.27,10.23,6752.4,Male,1
Triceratops,2.1,12.83,5.78,7379.6,Female,3
TREX,1.51,24.69,11.26,7049.36,Female,1
TREX,1.42,21.72,11.82,7098.74,Male,1
Triceratops,2.0,20.3,8.06,7929.07,Female,3
TREX,1.51,21.56,11.69,6030.09,Male,1
TREX,1.58,16.85,10.53,6142.8,Male,1
Triceratops,2.11,18.27,7.43,7691.55,Female,3
Spinosaurus,1.55,15.29,13.94,9163.95,Female,2
TREX,1.4,13.92,11.04,5306.22,Male,1
Triceratops,2.04,15.92,7.66,7638.62,Female,3
TREX,1.45,18.33,11.46,6044.58,Male,1
TREX,1.48,21.01,12.04,7296.05,Male,1
Triceratops,2.07,15.13,7.46,6436.41,Female,3
Triceratops,1.96,16.76,8.44,7917.17,Male,3
Triceratops,2.06,22.39,6.12,6166.69,Female,3
TREX,1.38,17.05,11.21,7149.74,Female,1
Triceratops,1.99,19.09,7.35,7126.4,Male,3
TREX,1.53,22.97,10.45,6393.46,Male,1
Spinosaurus,1.7,13.43,13.04,8591.5,Male,2
Spinosaurus,1.28,15.58,12.57,8983.34,Male,2
TREX,1.5,20.33,10.96,5874.83,Female,1
TREX,1.38,14.09,8.79,7488.48,Female,1
Spinosaurus,1.52,15.71,13.51,7775.6,Female,2
Triceratops,2.03,19.03,7.72,7023.51,Male,3
Triceratops,2.04,15.37,9.11,7799.56,Female,3
Triceratops,1.87,13.06,7.43,8780.24,Female,3
TREX,1.62,26.81,11.04,7073.45,Female,1
TREX,1.61,24.73,10.23,6819.61,Male,1
Triceratops,2.09,15.88,8.32,7612.44,Male,3
Spinosaurus,1.59,15.86,13.7,10217.55,Female,2
Triceratops,1.88,17.2,6.65,7660.0,Male,3
TREX,1.48,23.75,9.65,5908.03,Female,1
Triceratops,1.89,11.07,7.46,6392.61,Male,3
TREX,1.56,15.09,10.91,6794.26,Male,1
Spinosaurus,1.66,13.28,14.0,8500.99,Female,2
TREX,1.56,23.49,10.66,6781.25,Female,1
Spinosaurus,1.63,17.87,14.16,10118.54,Female,2
TREX,1.46,17.96,11.57,5823.38,Male,1
TREX,1.49,14.47,9.29,7147.36,Female,1
Spinosaurus,1.43,15.21,15.2,10361.54,Female,2
Spinosaurus,1.53,13.85,11.81,8321.3,Male,2
Triceratops,1.86,18.6,7.68,7695.57,Male,3
Spinosaurus,1.52,14.76,14.8,7864.68,Male,2
Triceratops,2.07,14.47,6.95,7103.11,Male,3
Spinosaurus,1.56,18.06,14.85,9852.02,Male,2
TREX,1.44,23.8,10.0,7144.46,Female,1
Triceratops,1.87,14.86,8.02,8261.12,Female,3
Spinosaurus,1.56,11.38,10.8,8467.3,Female,2
Triceratops,2.09,17.04,6.64,8450.03,Male,3
TREX,1.52,21.71,10.18,6279.24,Male,1
TREX,1.6,21.91,11.83,5816.52,Female,1
Spinosaurus,1.38,11.79,12.02,9862.06,Female,2
TREX,1.63,15.75,11.44,5984.25,Female,1
Triceratops,1.94,11.9,6.59,7260.33,Male,3
Spinosaurus,1.56,15.51,13.81,9715.92,Female,2
TREX,1.59,20.68,11.44,6779.18,Female,1
Spinosaurus,1.47,17.76,11.9,10455.5,Female,2
TREX,1.61,21.75,10.44,6511.98,Male,1
TREX,1.52,19.88,11.56,7645.1,Female,1
Triceratops,1.95,18.2,7.23,8224.26,Male,3
TREX,1.53,17.5,12.17,6362.33,Female,1
Triceratops,1.97,17.4,6.75,6902.95,Male,3
Spinosaurus,1.46,13.46,13.95,8786.7,Male,2
Spinosaurus,1.45,11.46,12.68,11221.2,Male,2
Spinosaurus,1.53,15.65,14.78,9923.98,Female,2
TREX,1.5,19.71,10.74,6487.61,Female,1
Triceratops,1.87,15.07,6.27,6529.12,Male,3
TREX,1.5,20.77,11.51,6644.26,Female,1
TREX,1.54,20.11,9.82,5839.98,Female,1
TREX,1.45,14.54,11.46,7148.21,Female,1
TREX,1.41,21.54,11.98,5190.16,Female,1
Spinosaurus,1.51,18.2,12.75,9765.64,Male,2
Spinosaurus,1.44,13.83,13.48,9160.26,Male,2
Triceratops,2.02,12.93,9.52,6371.47,Male,3
Spinosaurus,1.42,16.35,12.12,7536.5,Male,2
TREX,1.52,18.16,10.07,6105.33,Female,1
TREX,1.41,15.36,10.88,7400.38,Female,1
Spinosaurus,1.57,16.53,11.6,8486.51,Male,2
TREX,1.58,19.72,9.82,5785.94,Female,1
Spinosaurus,1.59,14.14,12.89,9789.73,Male,2
Spinosaurus,1.45,15.68,12.15,7909.61,Male,2
TREX,1.43,24.66,11.18,6747.01,Female,1
TREX,1.43,19.87,9.61,6071.15,Female,1
TREX,1.57,19.93,9.95,6880.0,Female,1
Spinosaurus,1.52,13.36,13.88,9655.92,Female,2
Spinosaurus,1.63,14.27,13.33,8782.03,Female,2
Spinosaurus,1.48,16.47,14.8,9816.6,Male,2
Triceratops,2.01,16.85,9.86,6614.88,Female,3
TREX,1.44,20.59,10.81,5896.28,Male,1
Spinosaurus,1.53,14.05,11.9,9326.56,Female,2
TREX,1.59,18.12,10.37,6283.85,Female,1
Spinosaurus,1.45,16.41,11.9,7015.87,Female,2
Triceratops,2.06,17.96,6.36,7877.38,Male,3
TREX,1.51,22.85,10.77,6330.65,Female,1
Triceratops,2.05,18.14,8.79,7435.17,Female,3
TREX,1.48,15.9,12.07,6491.2,Male,1
TREX,1.55,18.87,11.6,6616.37,Female,1
Spinosaurus,1.48,14.73,12.64,7872.5,Male,2
Triceratops,1.99,16.67,5.98,7485.51,Female,3
TREX,1.55,26.59,11.52,5906.24,Female,1
TREX,1.53,16.55,12.54,6942.42,Female,1
Spinosaurus,1.63,13.21,12.62,8507.56,Male,2
Triceratops,1.93,18.4,7.0,7818.43,Female,3
TREX,1.39,21.08,10.48,6995.35,Female,1
TREX,1.42,19.03,12.34,6064.07,Female,1
Spinosaurus,1.47,17.88,13.04,7970.34,Male,2
Triceratops,2.01,12.55,8.36,7069.71,Male,3
TREX,1.57,16.74,10.37,6796.17,Female,1
Spinosaurus,1.26,17.42,12.53,8317.46,Male,2
Triceratops,2.14,19.85,7.26,9023.17,Female,3
Spinosaurus,1.48,16.24,14.85,9037.65,Female,2
TREX,1.47,17.18,10.22,5310.66,Female,1
TREX,1.45,26.29,9.57,7486.43,Male,1
Spinosaurus,1.44,12.43,13.37,9249.73,Female,2
Spinosaurus,1.56,12.74,13.97,9703.49,Male,2
TREX,1.34,21.27,10.12,6998.83,Male,1
TREX,1.69,24.04,10.2,6544.85,Male,1
Triceratops,2.03,15.95,7.62,7980.14,Female,3
Triceratops,1.87,22.09,7.9,7385.17,Female,3
TREX,1.47,16.72,9.65,6187.06,Male,1
TREX,1.46,24.48,11.3,7882.79,Male,1
Triceratops,2.01,18.28,8.06,8169.29,Male,3
TREX,1.41,21.0,8.81,7757.04,Male,1
TREX,1.57,16.17,9.42,6736.47,Male,1
TREX,1.43,25.55,11.64,6601.56,Male,1
TREX,1.58,16.54,11.7,8225.83,Male,1
Triceratops,1.93,13.25,8.92,7364.3,Female,3
Spinosaurus,1.28,15.12,13.77,8967.81,Female,2
Triceratops,2.03,13.8,6.85,7682.1,Female,3
Spinosaurus,1.43,18.03,12.72,7557.11,Female,2
TREX,1.52,17.86,10.67,6760.37,Male,1
TREX,1.48,22.68,10.61,6554.21,Male,1
Spinosaurus,1.61,14.98,13.92,6913.15,Female,2
TREX,1.45,24.35,12.22,5646.57,Female,1
TREX,1.45,28.27,12.25,5516.7,Female,1
Triceratops,1.92,19.97,5.33,6523.86,Male,3
Spinosaurus,1.44,16.13,13.72,9577.21,Male,2
Spinosaurus,1.46,16.73,12.77,8434.45,Male,2
TREX,1.47,23.13,11.41,7407.45,Female,1
Triceratops,1.98,17.36,8.69,7924.54,Female,3
TREX,1.39,22.35,10.3,7711.18,Male,1
TREX,1.49,16.31,10.79,6961.78,Female,1
TREX,1.45,20.67,11.87,6912.09,Female,1
TREX,1.6,19.72,10.06,6264.02,Female,1
TREX,1.45,17.08,11.24,6798.65,Female,1
Triceratops,1.97,18.46,8.17,7699.48,Female,3
Triceratops,1.87,16.44,8.67,6530.9,Female,3
Spinosaurus,1.39,17.05,13.5,9826.65,Female,2
TREX,1.47,11.28,10.87,6246.9,Female,1
Triceratops,2.04,20.63,7.36,6680.87,Male,3
TREX,1.54,20.73,12.19,7764.93,Female,1
Triceratops,1.93,21.44,8.59,8224.69,Female,3
Triceratops,2.05,17.3,7.76,6727.3,Female,3
Triceratops,2.09,14.11,7.68,8152.59,Male,3
Triceratops,1.92,17.12,8.79,7848.79,Female,3
Triceratops,2.01,13.16,9.18,7741.25,Male,3
TREX,1.46,18.27,10.64,5630.84,Female,1
Triceratops,2.08,22.19,7.72,7230.3,Male,3
Spinosaurus,1.49,16.65,11.81,9062.45,Female,2
TREX,1.58,16.66,11.1,5620.54,Male,1
Spinosaurus,1.53,15.04,13.88,9797.57,Female,2
Spinosaurus,1.36,18.89,12.99,8578.22,Female,2
Spinosaurus,1.47,18.49,12.79,9399.55,Female,2
Triceratops,1.87,14.72,8.36,7114.9,Male,3
Spinosaurus,1.46,14.53,13.14,9721.16,Male,2
Triceratops,2.05,20.64,7.9,6589.07,Female,3
TREX,1.56,18.26,11.2,6975.77,Female,1
Spinosaurus,1.5,14.16,13.6,7862.4,Female,2
Triceratops,1.94,18.82,8.72,7803.91,Female,3
TREX,1.53,22.69,9.93,6337.21,Female,1
TREX,1.63,23.66,10.94,6602.14,Female,1
TREX,1.4,16.85,10.41,6287.97,Female,1
TREX,1.57,17.02,10.85,6703.98,Male,1
TREX,1.46,16.72,11.16,6639.56,Female,1
Spinosaurus,1.74,13.86,13.27,8683.32,Female,2
TREX,1.63,18.51,12.17,6891.06,Female,1
TREX,1.53,18.18,11.89,5498.91,Male,1
Triceratops,2.09,22.99,6.77,7370.65,Female,3
Triceratops,2.05,16.44,9.31,7550.68,Male,3
Triceratops,2.01,18.67,8.64,7688.52,Female,3
TREX,1.53,21.61,12.27,6900.28,Female,1
TREX,1.51,23.2,10.45,7714.42,Female,1
TREX,1.55,18.16,9.22,5773.84,Male,1
Triceratops,2.09,23.66,7.96,7104.98,Female,3
TREX,1.55,23.03,9.2,6443.88,Female,1
TREX,1.3,25.26,12.09,7415.09,Female,1
TREX,1.64,20.67,10.8,7262.15,Female,1
TREX,1.51,17.09,10.89,7094.55,Female,1
Triceratops,1.88,22.82,8.72,7116.14,Male,3
TREX,1.46,14.36,11.35,7942.08,Male,1
Triceratops,2.03,22.79,9.37,6598.94,Female,3
TREX,1.58,22.42,8.23,6947.04,Female,1
Spinosaurus,1.43,15.81,14.86,9562.98,Male,2
Triceratops,2.07,14.87,9.39,7356.28,Female,3
TREX,1.65,22.89,11.69,5562.44,Female,1
TREX,1.43,22.32,11.37,5655.28,Male,1
Triceratops,1.95,21.07,7.27,6901.87,Female,3
Spinosaurus,1.56,13.23,15.1,8422.78,Male,2
TREX,1.54,14.33,10.52,6807.6,Female,1
Spinosaurus,1.37,15.84,14.55,8647.52,Female,2
TREX,1.54,24.29,10.57,7618.92,Male,1
TREX,1.35,22.11,12.67,5362.11,Female,1
TREX,1.57,13.85,10.28,6519.37,Female,1
Spinosaurus,1.48,14.23,10.59,10608.08,Female,2
TREX,1.51,20.65,10.59,6094.9,Male,1
TREX,1.46,18.64,9.56,6541.78,Female,1
Spinosaurus,1.39,17.64,13.65,9634.96,Male,2
Triceratops,2.26,20.06,8.11,7885.77,Female,3
TREX,1.42,18.55,10.68,7398.18,Male,1
Spinosaurus,1.58,16.4,13.92,8655.65,Male,2
Triceratops,2.14,14.1,7.47,7487.5,Male,3
Spinosaurus,1.48,13.18,13.72,8408.35,Female,2
Triceratops,2.14,16.4,7.27,7542.17,Female,3
Spinosaurus,1.66,14.84,11.11,8362.42,Male,2
Triceratops,2.01,10.02,8.06,7149.03,Female,3
TREX,1.48,21.3,11.76,7359.15,Female,1
Triceratops,2.15,15.45,8.3,7688.86,Male,3
Triceratops,2.1,18.61,9.46,8099.49,Female,3
TREX,1.39,23.77,11.43,6804.52,Male,1
TREX,1.22,17.73,11.72,7096.72,Male,1
Triceratops,1.92,23.23,8.69,6868.62,Male,3
Triceratops,1.98,15.56,6.6,8008.38,Female,3
TREX,1.58,22.11,9.62,6038.41,Female,1
TREX,1.5,17.1,11.32,6878.35,Female,1
Spinosaurus,1.56,15.22,13.05,8099.19,Male,2
Spinosaurus,1.5,12.96,13.24,7430.22,Female,2
Triceratops,1.97,19.8,9.3,6709.02,Female,3
Triceratops,1.92,12.05,8.86,7497.91,Female,3
Spinosaurus,1.53,13.18,13.74,9153.85,Male,2
TREX,1.44,22.57,11.29,6284.15,Male,1
Spinosaurus,1.45,15.78,14.36,8946.77,Female,2
Triceratops,2.11,20.47,7.66,7146.04,Male,3
Triceratops,1.7,14.6,7.23,7606.26,Male,3
Triceratops,2.17,15.97,9.66,7820.99,Male,3
Spinosaurus,1.43,12.75,13.61,9442.56,Male,2
TREX,1.41,25.1,9.42,7896.43,Female,1
Triceratops,2.08,23.23,9.03,7191.04,Male,3
Spinosaurus,1.46,15.84,13.04,8492.47,Male,2
Spinosaurus,1.38,15.27,11.14,9668.25,Male,2
Triceratops,2.02,18.29,7.41,7623.27,Female,3
Triceratops,1.88,16.98,7.0,6794.63,Male,3
TREX,1.47,22.53,12.09,6467.98,Male,1
Triceratops,1.97,13.0,8.77,7567.85,Female,3
TREX,1.49,23.98,11.73,6901.72,Female,1
Triceratops,2.01,23.69,6.64,8224.59,Male,3
TREX,1.39,17.22,10.66,7280.71,Male,1
TREX,1.42,20.58,10.25,6365.38,Female,1
Spinosaurus,1.36,17.22,13.58,8300.43,Male,2
Triceratops,1.95,23.74,7.25,7282.66,Male,3
Spinosaurus,1.47,13.73,12.62,8355.38,Male,2
TREX,1.61,21.59,9.98,6432.98,Female,1
Triceratops,2.07,18.48,8.29,8069.53,Female,3
Spinosaurus,1.46,14.52,13.09,8920.88,Male,2
Triceratops,1.85,20.71,9.82,8292.84,Male,3
TREX,1.63,21.55,10.5,6423.16,Male,1
Spinosaurus,1.42,15.04,14.1,8954.36,Male,2
TREX,1.43,16.05,11.13,6283.12,Male,1
TREX,1.64,20.25,10.74,6037.82,Female,1
Triceratops,1.96,15.03,9.17,7001.3,Female,3
Triceratops,2.11,22.17,9.4,6296.25,Male,3
Triceratops,1.89,22.22,9.54,7722.36,Male,3
Spinosaurus,1.42,13.61,13.67,8234.52,Male,2
Triceratops,1.89,16.8,7.41,6444.62,Male,3
TREX,1.38,15.69,11.98,6521.71,Female,1
TREX,1.4,20.06,11.69,7247.97,Female,1
Triceratops,1.94,14.6,8.37,6087.9,Female,3
TREX,1.54,21.28,10.51,5694.81,Male,1
TREX,1.52,18.55,10.92,6788.34,Female,1
TREX,1.44,17.87,10.43,7214.28,Female,1
Triceratops,1.96,13.02,9.06,7627.58,Female,3
TREX,1.7,17.6,9.41,5944.92,Female,1
Triceratops,2.07,19.56,7.49,8032.52,Male,3
Spinosaurus,1.67,17.82,13.18,10376.52,Male,2
Triceratops,2.01,17.7,8.49,7930.53,Female,3
Spinosaurus,1.42,15.01,12.56,8497.89,Female,2
Spinosaurus,1.52,15.39,12.0,9042.04,Male,2
TREX,1.53,16.85,10.57,5443.43,Female,1
Spinosaurus,1.47,13.55,12.42,8977.62,Male,2
Triceratops,2.21,22.32,8.68,7956.01,Female,3
TREX,1.46,18.77,11.07,7022.84,Male,1
Spinosaurus,1.45,16.66,11.46,8729.49,Male,2
TREX,1.52,16.76,9.83,7323.23,Male,1
TREX,1.59,24.95,10.79,6263.6,Male,1
Spinosaurus,1.5,14.64,13.87,9402.72,Male,2
Spinosaurus,1.44,13.66,12.24,7821.0,Male,2
Triceratops,1.88,19.07,8.21,8634.08,Female,3
Spinosaurus,1.35,18.03,10.82,8902.83,Female,2
Triceratops,1.89,19.52,9.66,6746.15,Male,3
TREX,1.56,25.66,9.62,7100.31,Male,1
Triceratops,2.24,13.32,8.5,7883.51,Female,3
TREX,1.53,21.18,10.81,6285.91,Female,1
TREX,1.42,15.82,12.56,6684.44,Male,1
TREX,1.46,17.72,12.08,5382.4,Male,1
TREX,1.4,18.53,10.59,7171.03,Male,1
Triceratops,2.1,25.27,8.21,7825.67,Male,3
Spinosaurus,1.49,17.47,12.47,8875.87,Female,2
TREX,1.56,17.63,12.12,6694.8,Female,1
TREX,1.53,21.66,12.3,5919.49,Male,1
TREX,1.69,17.66,10.66,6294.44,Male,1
TREX,1.53,17.78,11.78,4959.87,Male,1
Spinosaurus,1.64,15.58,12.05,9250.15,Female,2
Spinosaurus,1.49,16.18,12.64,9710.77,Male,2
TREX,1.48,29.23,11.21,6641.03,Male,1
Triceratops,2.02,15.04,8.11,8221.08,Male,3
Spinosaurus,1.59,16.37,12.86,10757.83,Female,2
Triceratops,2.09,19.71,7.29,7633.74,Male,3
Triceratops,2.0,21.08,7.75,7881.62,Male,3
Spinosaurus,1.66,15.08,11.55,8636.22,Male,2
TREX,1.39,16.58,11.83,6004.17,Male,1
Triceratops,2.01,17.53,7.79,6636.2,Male,3
Triceratops,2.0,16.49,9.06,8036.93,Male,3
TREX,1.43,17.45,10.83,7435.51,Male,1
Triceratops,1.99,17.41,7.68,7787.68,Male,3
Triceratops,1.94,20.58,8.02,6719.45,Male,3
TREX,1.58,18.92,11.7,6701.02,Male,1
TREX,1.54,22.58,10.98,7423.57,Female,1
Triceratops,1.91,24.41,9.23,7057.6,Female,3
TREX,1.53,23.02,11.58,7239.85,Female,1
TREX,1.5,19.6,9.23,6675.06,Female,1
TREX,1.53,23.12,12.5,5352.52,Male,1
Spinosaurus,1.67,14.16,12.43,8308.79,Female,2
Spinosaurus,1.62,14.17,12.83,8699.56,Male,2
TREX,1.5,21.42,9.63,5240.25,Male,1
Triceratops,2.01,16.37,8.87,6314.85,Male,3
TREX,1.53,17.28,13.28,7372.6,Female,1
TREX,1.55,17.36,11.57,7385.18,Male,1
Triceratops,1.99,24.02,8.81,7970.03,Male,3
Spinosaurus,1.43,13.87,13.1,10694.18,Male,2
TREX,1.61,17.09,9.6,6402.07,Female,1
Triceratops,1.92,15.07,8.23,7083.17,Male,3
Spinosaurus,1.66,19.24,14.65,8509.81,Female,2
TREX,1.42,21.88,9.87,6571.12,Male,1
TREX,1.44,18.53,10.95,5637.44,Female,1
TREX,1.59,17.19,13.57,6185.27,Male,1
TREX,1.61,23.94,10.7,6334.26,Female,1
TREX,1.55,19.85,10.38,7055.47,Female,1
TREX,1.56,17.06,10.37,6185.11,Female,1
Triceratops,1.93,15.95,8.01,7822.45,Male,3
Triceratops,1.94,18.53,6.79,7565.82,Male,3
Triceratops,1.98,14.65,6.25,8425.97,Female,3
TREX,1.72,20.88,11.61,6192.56,Male,1
Spinosaurus,1.46,16.57,13.68,9528.27,Female,2
Triceratops,1.99,16.92,8.25,7406.22,Male,3
TREX,1.51,20.02,9.81,5788.98,Female,1
Triceratops,1.96,15.46,7.87,7529.26,Female,3
TREX,1.59,22.66,9.52,6615.65,Female,1
Triceratops,1.99,17.69,7.88,8351.04,Female,3
Triceratops,2.01,16.06,5.99,8107.36,Male,3
Spinosaurus,1.37,15.38,14.06,9795.43,Male,2
TREX,1.43,21.09,10.84,6385.07,Male,1
Spinosaurus,1.52,14.64,14.21,8737.18,Female,2
Spinosaurus,1.44,13.68,12.04,9289.81,Male,2
Triceratops,1.97,19.21,8.79,8140.72,Female,3
TREX,1.48,20.46,11.0,6275.3,Male,1
Spinosaurus,1.47,14.89,12.11,8851.12,Male,2
TREX,1.57,19.27,9.8,6588.76,Female,1
Spinosaurus,1.45,15.11,11.34,9394.82,Male,2
TREX,1.4,19.54,12.28,6702.95,Female,1
TREX,1.58,14.11,12.8,6080.26,Male,1
TREX,1.48,19.68,11.69,6146.49,Female,1
Triceratops,2.01,14.86,8.39,8670.13,Female,3
TREX,1.54,24.15,11.17,5965.94,Female,1
Triceratops,1.94,14.35,6.12,7712.37,Female,3
TREX,1.43,21.3,12.07,6929.36,Female,1
TREX,1.56,20.97,12.42,7279.99,Female,1
TREX,1.51,17.08,9.86,6294.62,Female,1
TREX,1.37,12.83,11.9,6843.18,Female,1
TREX,1.52,23.32,10.04,7712.61,Female,1
Spinosaurus,1.6,14.59,11.71,9961.36,Male,2
Spinosaurus,1.42,18.25,12.67,8714.9,Female,2
TREX,1.48,20.79,12.17,7566.1,Male,1
Triceratops,1.87,22.75,5.54,7015.12,Female,3
Triceratops,1.95,22.9,7.15,6771.37,Female,3
TREX,1.47,24.49,9.37,5982.63,Female,1
TREX,1.46,21.86,12.4,6352.3,Male,1
TREX,1.42,20.55,10.79,6016.48,Male,1
Triceratops,2.07,23.7,7.96,6925.69,Female,3
TREX,1.49,21.04,11.13,6138.68,Female,1
TREX,1.38,16.87,11.6,8424.8,Male,1
Spinosaurus,1.65,16.0,13.38,9063.02,Female,2
Triceratops,2.02,19.78,7.8,7598.79,Female,3
Triceratops,1.84,21.8,6.52,8273.58,Female,3
Spinosaurus,1.42,19.21,14.51,8869.99,Male,2
TREX,1.59,21.15,8.89,6539.65,Female,1
Triceratops,2.14,17.18,9.08,6939.53,Female,3
Triceratops,1.92,17.01,9.24,7515.05,Female,3
Triceratops,1.92,9.45,7.25,6428.01,Male,3
Triceratops,1.99,16.84,8.94,5630.26,Female,3
Spinosaurus,1.57,12.03,12.65,9489.81,Male,2
Spinosaurus,1.52,12.98,12.54,9583.43,Male,2
TREX,1.46,17.1,11.14,7594.13,Male,1
Triceratops,2.05,23.29,8.79,6630.23,Female,3
Spinosaurus,1.51,15.94,12.71,8473.04,Male,2
Spinosaurus,1.44,18.23,15.46,9846.35,Female,2
Triceratops,2.01,25.02,7.62,7507.14,Female,3
Triceratops,1.99,15.23,7.16,6457.71,Female,3
TREX,1.39,17.53,12.18,7589.82,Female,1
Spinosaurus,1.58,15.05,12.41,9470.39,Male,2
Triceratops,1.94,17.99,7.4,7056.77,Female,3
TREX,1.43,17.73,10.26,8222.35,Male,1
TREX,1.41,15.36,8.47,7648.61,Male,1
Triceratops,2.1,22.34,8.12,7223.4,Female,3
TREX,1.48,18.52,11.07,6778.31,Female,1
Triceratops,1.87,19.96,8.24,6557.88,Female,3
TREX,1.55,19.48,9.23,6106.42,Male,1
Triceratops,2.12,16.18,7.03,8694.0,Male,3
Triceratops,2.04,16.98,6.51,8877.16,Female,3
TREX,1.48,23.58,12.1,6366.87,Female,1
Spinosaurus,1.53,17.75,12.38,8364.74,Female,2
Spinosaurus,1.52,16.69,12.14,8452.78,Female,2
Spinosaurus,1.28,14.59,12.61,10330.45,Male,2
Triceratops,1.88,16.81,9.1,7168.75,Male,3
Triceratops,1.97,16.83,6.89,8204.43,Male,3
TREX,1.73,13.74,10.08,7753.51,Male,1
TREX,1.53,21.77,10.38,6323.47,Female,1
Triceratops,2.01,20.14,4.7,6683.32,Male,3
Spinosaurus,1.58,14.2,14.88,8395.13,Male,2
Triceratops,2.06,18.5,7.91,7440.11,Female,3
TREX,1.66,16.0,10.72,8168.65,Female,1
Triceratops,2.09,20.01,8.36,7768.98,Female,3
TREX,1.52,17.48,12.36,7202.13,Male,1
TREX,1.45,23.06,11.14,6885.38,Female,1
Triceratops,1.96,15.32,9.9,6993.94,Female,3
TREX,1.5,18.29,11.53,6872.17,Male,1
Triceratops,2.1,18.02,9.81,7458.79,Female,3
Spinosaurus,1.53,15.22,13.13,8660.18,Female,2
TREX,1.52,18.76,9.51,6832.66,Female,1
Spinosaurus,1.48,12.09,11.85,8521.31,Male,2
TREX,1.36,17.45,11.4,7069.03,Female,1
TREX,1.57,18.54,11.96,6716.55,Male,1
Triceratops,1.92,22.11,7.55,8354.4,Female,3
TREX,1.23,19.71,9.27,6072.76,Female,1
TREX,1.45,18.22,10.49,6390.34,Male,1
Triceratops,1.85,18.67,8.3,6901.84,Male,3
Triceratops,2.03,23.62,6.94,7617.67,Male,3
TREX,1.55,22.53,11.5,6532.65,Female,1
TREX,1.3,16.86,11.25,7488.73,Female,1
Spinosaurus,1.44,15.07,13.54,8851.81,Male,2
Triceratops,1.95,19.32,8.46,7641.01,Female,3
TREX,1.52,20.93,10.28,6764.59,Male,1
Triceratops,2.1,18.24,9.64,6784.28,Female,3
Triceratops,2.04,20.52,7.92,8245.93,Male,3
Triceratops,2.16,18.75,8.01,7025.88,Female,3
Spinosaurus,1.61,12.96,13.03,9243.83,Male,2
Triceratops,1.73,14.43,6.77,8335.83,Female,3
Triceratops,2.2,18.54,7.51,9183.24,Male,3
Spinosaurus,1.62,14.45,11.86,8660.66,Male,2
TREX,1.48,20.4,10.64,7147.05,Female,1
Triceratops,1.89,15.26,7.85,7676.37,Female,3
TREX,1.47,23.84,10.85,6156.01,Male,1
TREX,1.51,19.12,10.19,7131.29,Male,1
Spinosaurus,1.66,15.4,13.28,9899.83,Male,2
Spinosaurus,1.36,14.52,11.66,9487.09,Female,2
Spinosaurus,1.49,14.95,12.6,8196.62,Female,2
Spinosaurus,1.33,16.58,13.18,7959.53,Female,2
Spinosaurus,1.67,13.83,12.12,8901.13,Male,2
TREX,1.76,18.59,10.09,7224.29,Male,1
Triceratops,2.15,15.04,7.83,7217.27,Male,3
Spinosaurus,1.44,14.89,12.92,10488.13,Female,2
TREX,1.66,22.16,10.26,6185.69,Female,1
Spinosaurus,1.48,14.64,12.82,9146.24,Male,2
TREX,1.49,20.66,11.12,7573.45,Male,1
Triceratops,2.0,23.2,6.31,7994.83,Female,3
Triceratops,1.91,17.2,7.79,6672.2,Female,3
TREX,1.59,20.66,10.38,7496.87,Female,1
TREX,1.4,11.5,11.63,6081.84,Female,1
TREX,1.56,22.54,9.8,7197.34,Female,1
Spinosaurus,1.43,17.93,11.01,8396.88,Male,2
Triceratops,1.93,15.31,9.14,7446.27,Female,3
